#Device,HMC8015
#Device Name,
#Date,2018-07-12
#Logging Interval[s],0.100

#Actual Count,399         

URMS[V],IRMS[A],P[W],FPLL[Hz],WH[Wh],IRange[A],S[VA],Q[var],LAMBDA[],UTHD[%],Timestamp
233.81,128.45E-03,25.969,50.012,,200E-03,30.033,15.087,0.865,3.05,10:48:25.000
233.86,13.00E-03,0.960,50.012,,200E-03,3.039,2.884,0.316,3.04,10:48:25.100
233.88,12.90E-03,0.957,50.011,,200E-03,3.017,2.862,0.317,3.04,10:48:25.200
233.90,13.04E-03,0.968,50.012,,200E-03,3.051,2.893,0.317,3.06,10:48:25.300
233.88,12.90E-03,0.959,50.013,,200E-03,3.017,2.861,0.318,3.06,10:48:25.400
233.92,10.93E-03,0.704,50.013,,200E-03,2.556,2.457,0.275,3.06,10:48:25.500
233.98,9.35E-03,0.506,50.013,,200E-03,2.189,2.129,0.231,3.05,10:48:25.600
234.00,9.20E-03,0.486,50.013,,200E-03,2.152,2.096,0.226,3.06,10:48:25.700
233.97,9.17E-03,0.479,50.012,,200E-03,2.146,2.091,0.223,3.05,10:48:25.800
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,10:48:25.900
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,10:48:26.000
nan,nan,nan,nan,,20E-03,nan,nan,nan,nan,10:48:26.100
233.98,9.321E-03,0.4982,50.010,,20E-03,2.1808,2.1231,0.228,3.07,10:48:26.200
233.95,9.191E-03,0.4672,50.010,,20E-03,2.1503,2.0990,0.217,3.06,10:48:26.300
232.02,9.061E-03,0.3811,50.010,,20E-03,2.1023,2.0675,0.181,3.06,10:48:26.400
233.98,9.096E-03,0.4677,50.011,,20E-03,2.1284,2.0764,0.220,3.04,10:48:26.500
233.99,9.090E-03,0.4663,50.011,,20E-03,2.1269,2.0751,0.219,3.03,10:48:26.600
233.96,9.274E-03,0.4889,50.012,,20E-03,2.1698,2.1140,0.225,3.05,10:48:26.700
233.97,9.422E-03,0.5041,50.010,,20E-03,2.2044,2.1460,0.229,3.05,10:48:26.800
233.98,9.368E-03,0.5000,50.012,,20E-03,2.1920,2.1342,0.228,3.05,10:48:26.900
234.00,9.348E-03,0.4986,50.014,,20E-03,2.1875,2.1299,0.228,3.04,10:48:27.000
234.14,9.160E-03,0.4680,50.013,,20E-03,2.1447,2.0930,0.218,3.06,10:48:27.100
234.05,9.152E-03,0.4631,50.015,,20E-03,2.1420,2.0913,0.216,3.03,10:48:27.200
234.04,9.124E-03,0.4634,50.013,,20E-03,2.1354,2.0845,0.217,3.04,10:48:27.300
233.99,9.111E-03,0.4601,50.013,,20E-03,2.1319,2.0817,0.216,3.04,10:48:27.400
234.01,9.362E-03,0.4978,50.013,,20E-03,2.1908,2.1335,0.227,3.08,10:48:27.500
234.11,9.360E-03,0.5013,50.014,,20E-03,2.1912,2.1331,0.229,3.09,10:48:27.600
234.12,9.379E-03,0.4982,50.013,,20E-03,2.1959,2.1386,0.227,3.09,10:48:27.700
234.10,9.319E-03,0.4915,50.014,,20E-03,2.1816,2.1255,0.225,3.08,10:48:27.800
234.13,9.206E-03,0.4689,50.013,,20E-03,2.1554,2.1038,0.218,3.11,10:48:27.900
234.12,9.163E-03,0.4680,50.011,,20E-03,2.1453,2.0936,0.218,3.08,10:48:28.000
234.08,9.138E-03,0.4614,50.011,,20E-03,2.1390,2.0887,0.216,3.09,10:48:28.100
234.11,9.262E-03,0.4683,50.010,,20E-03,2.1684,2.1172,0.216,3.07,10:48:28.200
234.10,9.401E-03,0.4977,50.011,,20E-03,2.2007,2.1437,0.226,3.07,10:48:28.300
234.08,9.382E-03,0.4907,50.011,,20E-03,2.1961,2.1406,0.223,3.09,10:48:28.400
234.06,9.352E-03,0.4888,50.011,,20E-03,2.1890,2.1338,0.223,3.07,10:48:28.500
234.06,9.388E-03,0.4970,50.009,,20E-03,2.1974,2.1405,0.226,3.08,10:48:28.600
233.97,9.200E-03,0.4640,50.010,,20E-03,2.1526,2.1020,0.216,3.07,10:48:28.700
233.95,9.171E-03,0.4649,50.010,,20E-03,2.1457,2.0947,0.217,3.08,10:48:28.800
233.95,9.188E-03,0.4640,50.010,,20E-03,2.1494,2.0988,0.216,3.08,10:48:28.900
233.95,9.170E-03,0.4640,50.010,,20E-03,2.1453,2.0945,0.216,3.09,10:48:29.000
233.91,9.416E-03,0.4960,50.008,,20E-03,2.2026,2.1461,0.225,3.12,10:48:29.100
233.95,9.427E-03,0.4974,50.009,,20E-03,2.2054,2.1486,0.226,3.09,10:48:29.200
233.90,9.408E-03,0.4938,50.008,,20E-03,2.2005,2.1444,0.224,3.11,10:48:29.300
233.94,9.465E-03,0.4995,50.009,,20E-03,2.2142,2.1571,0.226,3.09,10:48:29.400
233.92,9.164E-03,0.4593,50.009,,20E-03,2.1436,2.0938,0.214,3.07,10:48:29.500
233.90,9.174E-03,0.4630,50.009,,20E-03,2.1458,2.0952,0.216,3.08,10:48:29.600
233.91,9.171E-03,0.4637,50.009,,20E-03,2.1452,2.0945,0.216,3.06,10:48:29.700
233.91,9.211E-03,0.4683,50.010,,20E-03,2.1546,2.1031,0.217,3.06,10:48:29.800
233.88,9.405E-03,0.4971,50.010,,20E-03,2.1996,2.1427,0.226,3.07,10:48:29.900
233.84,9.389E-03,0.4908,50.010,,20E-03,2.1956,2.1400,0.224,3.09,10:48:30.000
233.88,9.461E-03,0.5024,50.010,,20E-03,2.2128,2.1550,0.227,3.07,10:48:30.100
233.90,9.375E-03,0.4940,50.010,,20E-03,2.1927,2.1363,0.225,3.10,10:48:30.200
233.91,9.252E-03,0.4678,50.010,,20E-03,2.1640,2.1128,0.216,3.11,10:48:30.300
233.89,9.197E-03,0.4628,50.009,,20E-03,2.1512,2.1008,0.215,3.11,10:48:30.400
233.84,9.179E-03,0.4615,50.008,,20E-03,2.1465,2.0963,0.215,3.10,10:48:30.500
233.79,9.136E-03,0.4595,50.008,,20E-03,2.1359,2.0859,0.215,3.08,10:48:30.600
233.83,9.332E-03,0.4914,50.007,,20E-03,2.1821,2.1261,0.225,3.08,10:48:30.700
233.88,9.364E-03,0.4980,50.005,,20E-03,2.1901,2.1328,0.227,3.09,10:48:30.800
233.85,9.371E-03,0.4966,50.005,,20E-03,2.1915,2.1345,0.227,3.08,10:48:30.900
233.85,9.340E-03,0.4941,50.004,,20E-03,2.1841,2.1275,0.226,3.10,10:48:31.000
233.91,9.108E-03,0.4617,50.005,,20E-03,2.1305,2.0798,0.217,3.09,10:48:31.100
233.95,9.170E-03,0.4667,50.004,,20E-03,2.1452,2.0939,0.218,3.11,10:48:31.200
233.94,9.193E-03,0.4699,50.005,,20E-03,2.1506,2.0987,0.219,3.12,10:48:31.300
233.90,9.143E-03,0.4627,50.004,,20E-03,2.1385,2.0879,0.216,3.13,10:48:31.400
233.81,9.363E-03,0.4903,50.004,,20E-03,2.1892,2.1336,0.224,3.11,10:48:31.500
233.79,9.339E-03,0.4941,50.003,,20E-03,2.1835,2.1268,0.226,3.12,10:48:31.600
233.76,9.320E-03,0.4925,50.004,,20E-03,2.1788,2.1224,0.226,3.13,10:48:31.700
233.75,9.333E-03,0.4942,50.005,,20E-03,2.1814,2.1247,0.227,3.10,10:48:31.800
